"","TCGA-3X-AAV9-01","TCGA-3X-AAVA-01","TCGA-3X-AAVB-01","TCGA-3X-AAVC-01","TCGA-3X-AAVE-01","TCGA-4G-AAZO-01","TCGA-4G-AAZT-01","TCGA-W5-AA2G-01","TCGA-W5-AA2H-01","TCGA-W5-AA2I-01","TCGA-W5-AA2I-11","TCGA-W5-AA2O-01","TCGA-W5-AA2Q-01","TCGA-W5-AA2Q-11","TCGA-W5-AA2R-01","TCGA-W5-AA2R-11","TCGA-W5-AA2T-01","TCGA-W5-AA2U-01","TCGA-W5-AA2U-11","TCGA-W5-AA2W-01","TCGA-W5-AA2X-01","TCGA-W5-AA2X-11","TCGA-W5-AA2Z-01","TCGA-W5-AA30-01","TCGA-W5-AA30-11","TCGA-W5-AA31-01","TCGA-W5-AA31-11","TCGA-W5-AA33-01","TCGA-W5-AA34-01","TCGA-W5-AA34-11","TCGA-W5-AA36-01","TCGA-W5-AA38-01","TCGA-W5-AA39-01","TCGA-W6-AA0S-01","TCGA-WD-A7RX-01","TCGA-YR-A95A-01","TCGA-ZD-A8I3-01","TCGA-ZH-A8Y1-01","TCGA-ZH-A8Y2-01","TCGA-ZH-A8Y4-01","TCGA-ZH-A8Y5-01","TCGA-ZH-A8Y6-01","TCGA-ZH-A8Y8-01","TCGA-ZU-A8S4-01","TCGA-ZU-A8S4-11"
"hsa-miR-10a-3p",37,10,36,39,7,21,31,2,11,37,3,2,10,16,8,12,71,15,11,11,11,7,23,19,17,4,5,13,5,5,11,4,1,12,7,27,23,30,13,12,12,1,19,15,10
"hsa-miR-10b-5p",62000,7591,80267,68633,39272,95331,56751,4263,119703,10004,1280,227,41235,17145,65106,3892,21487,26820,2930,9197,6586,7432,137857,110776,20440,6463,4015,23543,10411,1463,1603,19663,2076,19161,13964,4156,26635,18462,7860,26974,35301,2009,35029,39765,5771
"hsa-miR-10b-3p",13,3,29,23,13,24,13,2,63,16,1,0,16,7,40,1,8,9,3,10,3,3,36,19,11,3,0,9,9,0,0,17,1,10,2,2,15,12,3,15,18,1,22,28,7
"hsa-miR-34a-5p",652,2082,946,952,669,1535,1281,762,773,1606,371,926,564,1037,1070,608,419,2186,431,1313,752,1030,1043,1318,609,870,636,1087,1333,523,945,2726,443,976,1741,1932,1410,1040,596,1058,2244,907,2535,1274,829
"hsa-miR-34a-3p",3,3,6,5,2,7,2,3,3,7,1,1,3,3,3,2,3,3,0,2,4,5,4,7,1,4,3,2,1,1,2,6,3,6,8,8,7,6,3,4,9,6,6,4,3
"hsa-miR-181a-5p",13950,62269,17627,6469,8360,18598,16908,7231,10736,45894,1580,4218,29697,9556,11695,5577,38269,9370,4994,32411,8098,7602,18698,4591,6142,10218,4216,7848,21308,3909,16550,11145,1856,13424,10188,19543,19527,28336,12551,12089,17288,4908,34947,13240,10272
"hsa-miR-181a-2-3p",4326,10370,4268,1837,5031,7339,9608,4645,2209,8000,1573,1304,29096,3443,4277,2801,28195,4272,2172,14485,2609,4288,8182,2483,4502,5434,2759,4826,10845,2908,10414,4112,1153,3985,5727,6128,11784,10959,7211,6460,9723,2388,6340,4293,4000
"hsa-miR-181b-5p",3079,9852,3633,1603,2119,7675,3571,1953,1753,10397,287,1102,8031,1335,1935,791,6581,2590,662,15198,2628,1173,2593,1100,1088,1834,548,1719,2804,602,5099,2995,376,2627,2242,7673,4957,7773,3440,3818,5266,962,8820,2939,1514
"hsa-miR-181b-3p",25,100,33,20,39,19,84,24,76,14,9,6,22,22,43,18,27,46,29,29,26,33,24,40,48,27,20,37,26,11,34,7,11,22,37,28,54,45,27,35,37,9,27,47,26
"hsa-miR-181c-5p",365,370,346,80,315,619,657,55,243,1703,26,154,492,162,293,63,1838,185,68,252,144,144,581,170,118,282,62,332,614,41,153,341,33,248,291,311,585,441,396,158,1354,166,801,466,195
"hsa-miR-181c-3p",222,270,301,80,235,206,429,69,143,748,18,53,375,119,163,64,1867,130,66,147,239,146,281,100,100,315,54,174,618,53,149,175,25,154,185,193,483,306,283,151,644,124,406,431,156
"hsa-miR-182-5p",64800,92091,36375,26229,77616,66563,124630,62022,3495,126035,1297,29651,54448,2078,21490,1962,136911,52852,1514,75542,95858,7286,20287,68488,2763,47458,2180,47796,41532,2392,100852,99970,20234,47344,68965,45491,25564,81826,166124,47990,131685,61272,72654,17563,1983
"hsa-miR-182-3p",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"hsa-miR-183-5p",19796,25675,10635,13572,26432,12391,30271,28219,880,37280,357,4080,16063,475,6865,455,55793,21600,367,19641,45682,2137,5741,22636,653,21031,489,13698,18010,571,27924,31832,11394,15136,14570,13802,7865,38920,47449,15514,37403,26377,18826,6026,571
"hsa-miR-183-3p",1,5,0,6,5,1,5,0,0,9,0,1,1,0,4,0,7,3,0,4,3,0,2,5,0,3,0,2,1,0,1,8,4,2,0,4,2,11,10,2,12,6,3,1,0
"hsa-miR-187-5p",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"hsa-miR-187-3p",13,2,1,103,56,37,379,4,6,77,8,3,136,16,20,13,218,280,7,40,2,11,170,215,28,57,11,234,206,14,211,82,7,1,6,3,31,650,95,55,114,3,88,35,16
"hsa-miR-196a-3p",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"hsa-miR-199b-5p",2865,1022,2638,172,513,597,1664,144,360,2792,17,33,334,167,441,26,853,735,57,476,115,351,1037,623,160,159,29,658,323,11,438,116,34,453,513,647,672,489,486,201,398,43,2092,257,61
"hsa-miR-199b-3p",24293,13555,23630,3491,13060,7882,36676,5902,11321,44568,6612,1963,17604,26358,16598,11956,17223,17724,10812,13259,4599,16723,26764,18263,22609,9775,6958,21042,5980,8868,8737,6538,2381,9013,14179,22769,18655,17280,13764,6772,13672,3376,19447,8432,18511
"hsa-miR-203a-5p",0,1,0,1,0,3,2,1,0,2,1,0,3,0,0,0,1,0,0,1,8,1,0,0,0,4,0,3,0,0,0,1,0,0,0,1,2,0,0,1,3,0,3,0,1
"hsa-miR-203a-3p",26381,4282,12144,8886,6843,14387,17648,2382,182,17029,3313,1479,16452,7920,1739,7745,12726,5686,5967,7180,83126,5001,8033,9882,10316,64058,6119,24712,4358,4970,1993,610,7111,1999,3395,22947,4774,17057,140,6223,24504,1266,10475,5693,8834
"hsa-miR-204-5p",67,38,202,6,72,43,2288,31,68,62,58,142,37,133,78,134,8,65,126,42,41,92,129,89,165,21,65,112,1,109,8,5,21,15,72,44,20,28,40,24,24,2920,117,3,134
"hsa-miR-204-3p",0,0,0,0,1,0,11,0,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"hsa-miR-205-5p",2977,6,132,2,1,5,0,1,0,4,0,2,1,2,1,2,0,0,2,0,4,1,6,2,0,0,2,1,0,0,0,0,0,2,2,2,3,103,0,0,0,7,7,2,1
"hsa-miR-205-3p",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-210-5p",1,4,29,3,0,2,1,1,0,5,2,0,7,4,0,6,5,1,0,9,5,3,4,0,1,0,2,0,3,3,0,2,5,19,0,3,11,7,0,3,11,0,2,6,1
"hsa-miR-210-3p",260,4801,12102,5718,836,4940,1225,1477,204,2704,1692,1240,5112,2180,585,1879,6817,993,763,8750,8415,1637,3797,1067,846,933,1578,592,2321,2619,1509,1521,4738,16479,675,660,8661,8859,2092,2446,6612,181,5590,6266,2532
"hsa-miR-211-5p",1,0,2,0,0,0,0,1,9,3,0,2,0,5,0,3,0,1,12,1,4,4,1,0,2,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,1,0,1,0,5
"hsa-miR-211-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-212-5p",2,0,1,1,3,1,1,1,4,4,0,0,0,2,0,0,3,0,1,3,1,1,2,2,1,0,0,8,0,1,2,4,0,1,1,3,1,2,1,1,0,4,6,1,0
"hsa-miR-212-3p",17,13,29,18,19,9,23,14,19,22,7,3,11,21,22,7,26,24,11,24,15,20,26,7,10,12,9,10,10,2,11,21,16,9,7,34,21,34,16,29,25,12,20,19,10
"hsa-miR-181a-3p",1699,2493,1053,470,669,334,1586,462,1156,1078,150,114,413,939,980,459,581,603,490,742,571,672,868,370,687,660,319,772,523,304,516,322,109,447,708,862,1000,785,562,693,630,217,1152,1723,827
"hsa-miR-214-5p",225,199,350,31,128,147,497,72,133,570,58,49,209,148,189,93,172,165,76,80,49,167,354,288,204,115,47,210,65,71,143,65,24,125,201,225,186,244,110,69,217,61,199,71,149
"hsa-miR-214-3p",78,15,65,8,10,30,72,5,31,268,9,5,28,45,21,19,67,24,10,11,17,26,62,41,27,20,10,41,20,10,11,9,6,15,41,44,70,52,9,14,25,6,46,14,42
"hsa-miR-215-5p",22,89,291,13395,96,1755,451,92,895,312,213,168,157,293,174,344,475,58,304,1102,83,300,61,69,414,89,242,195,25,278,1140,972,435,69,157,981,233,161,304,292,666,186,164,185,273
"hsa-miR-215-3p",0,0,0,125,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-216a-5p",8,0,37,0,0,1,5,3,5,3,12,0,3,46,9,6,0,13,15,4,2,25,32,13,9,41,12,4,155,13,5,9,1,1,3,5,1,867,6,3,2,3,7,0,209
"hsa-miR-216a-3p",0,0,5,0,1,0,0,3,0,0,8,0,0,14,3,1,0,1,4,0,0,2,2,7,3,15,2,1,23,1,4,1,0,0,0,1,1,200,4,0,0,0,1,0,26
"hsa-miR-217",1090,127,2182,16,64,59,292,312,213,225,1018,27,103,2186,530,297,124,651,581,197,92,760,2343,1465,733,2516,437,219,6718,354,337,376,38,68,280,174,97,37100,387,133,176,209,472,61,8018
"hsa-miR-218-5p",598,379,420,30,278,402,755,132,207,3810,33,50,193,139,355,82,424,511,98,297,88,248,390,331,159,379,58,359,132,30,327,108,25,159,375,469,221,577,323,260,238,121,827,627,144
"hsa-miR-218-1-3p",3,4,4,1,2,0,9,2,6,70,0,0,1,2,6,1,5,7,1,1,0,4,2,3,0,1,0,7,0,0,2,1,0,0,2,7,2,6,4,6,3,3,6,4,2
"hsa-miR-218-2-3p",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-219a-5p",4,3,1,1,1,1,11,0,3,14,2,1,4,9,1,6,16,3,8,2,3,3,2,3,3,4,5,8,1,4,0,1,0,3,3,5,7,1,2,0,2,5,8,0,12
"hsa-miR-219a-1-3p",5,3,4,6,0,3,9,3,4,19,8,3,5,19,2,22,29,6,12,5,12,13,3,10,8,4,8,10,2,12,6,12,15,1,6,7,11,8,7,18,1,7,11,9,29
"hsa-miR-221-5p",5,1,8,3,2,2,4,0,12,7,0,2,0,1,3,0,3,6,0,1,0,2,3,7,4,1,1,2,3,1,3,7,0,1,6,7,7,2,3,6,2,2,8,7,2
"hsa-miR-221-3p",1287,314,2803,786,821,455,496,281,1431,1679,76,176,270,344,622,260,1410,1142,162,763,498,323,437,444,261,349,124,624,782,263,378,1632,271,577,639,1204,1138,1829,1008,1233,1268,253,1968,1606,245
"hsa-miR-222-5p",9,5,22,18,12,6,13,2,39,12,4,2,5,14,12,52,10,31,7,9,10,12,6,8,14,8,4,21,9,3,11,31,4,6,25,12,19,37,20,47,12,3,11,48,7
"hsa-miR-222-3p",250,105,696,171,319,144,149,82,300,419,9,84,60,50,127,74,333,284,36,196,148,62,110,163,60,74,17,162,145,44,159,400,68,144,199,296,301,366,358,371,300,64,340,342,43
"hsa-miR-223-5p",30,6,2,12,8,3,9,3,17,2,3,3,4,8,4,8,4,16,7,4,13,5,13,8,11,7,2,21,9,1,3,2,1,4,9,3,6,9,2,9,2,3,26,15,8
"hsa-miR-223-3p",3099,801,1099,3458,1654,378,1055,656,1299,978,231,467,651,1311,821,854,2927,2188,1181,588,4999,1826,1822,2201,1294,3094,1116,2373,3915,314,411,1770,126,1064,2064,581,2844,3260,1011,2358,750,352,9276,3800,1791
"hsa-miR-224-5p",207,627,192,438,523,98,41,81,28,202,49,158,199,155,332,325,1311,304,24,303,433,250,327,151,72,655,134,239,596,105,461,608,923,500,114,69,78,445,518,125,668,363,726,235,229
"hsa-miR-224-3p",8,33,8,12,27,4,9,3,4,14,1,5,16,6,8,20,89,12,0,9,18,16,9,7,4,16,7,18,25,3,20,26,24,12,12,3,3,13,47,10,28,31,11,3,13
"hsa-miR-200b-5p",38,81,250,178,125,129,138,56,2,346,19,66,128,7,36,8,442,50,4,52,244,22,76,80,9,91,12,39,106,10,54,75,33,57,112,91,73,108,66,20,229,48,129,60,26
"hsa-miR-200b-3p",2476,4499,14699,9747,3985,5495,3558,2136,66,13213,387,2213,2887,526,1332,389,18977,2280,271,2411,9503,927,2901,2190,550,4149,315,1407,3892,475,1794,3110,1541,2582,3409,3585,2105,4940,2382,1402,6701,4043,7551,1941,1018
"hsa-let-7g-5p",2957,2882,2862,2349,2633,2698,3710,1603,4636,4149,1474,831,3115,3835,2446,3039,3636,2782,2519,2321,1395,3429,2033,2292,3874,1977,2225,2006,2016,2049,2039,2161,708,1696,3348,3725,2226,2157,2082,1704,4213,672,4597,2056,4044
"hsa-let-7g-3p",26,127,107,144,164,142,260,82,296,109,96,59,197,214,94,179,185,97,130,111,66,195,97,167,243,81,137,137,55,166,142,96,54,50,171,133,125,97,214,88,133,33,107,139,225
"hsa-let-7i-5p",2206,1024,2131,1568,1772,2288,3598,896,3252,4681,340,488,782,1188,1474,901,3722,2062,754,2194,1218,1002,1425,949,996,1138,592,1525,1102,507,1267,2296,423,1166,1225,2118,1558,2035,1792,2574,1479,396,2804,1723,1309
"hsa-let-7i-3p",201,113,291,286,388,724,727,103,569,324,65,81,131,165,230,155,461,342,127,284,127,215,184,201,258,151,103,297,88,122,231,419,107,117,194,245,229,290,255,294,230,49,195,327,180
"hsa-miR-1-3p",146,65,59,22,56,73,102,17,37,85,8,11,44,35,26,33,37,48,23,50,18,46,256,108,95,54,22,28,25,18,33,18,5,51,40,61,48,112,18,38,78,92,278,26,42
"hsa-miR-15b-5p",534,852,628,1689,1719,645,1295,1701,931,2704,161,1200,586,1053,1977,771,2470,1277,1107,1659,1573,2145,604,746,1285,1799,947,1114,2472,376,2491,4594,1229,977,929,1238,1379,1084,1656,2538,932,674,1266,1354,1662
"hsa-miR-15b-3p",27,78,68,283,237,65,114,129,88,222,26,86,75,73,208,65,210,220,72,220,170,122,41,98,97,130,75,159,100,87,263,340,240,74,80,153,132,194,167,190,160,44,89,100,107
"hsa-miR-23b-5p",2,5,4,1,15,4,10,5,1,10,1,1,1,5,5,8,4,2,6,3,2,3,3,2,5,3,0,1,3,1,10,3,0,0,5,8,5,3,4,1,11,31,2,3,8
"hsa-miR-23b-3p",7244,10494,7967,3000,13569,3582,10350,4570,1134,8913,4739,1645,5190,12551,8922,13424,8310,5400,6896,4481,2982,9641,6787,4208,9990,5778,9644,3308,3853,8783,9169,5882,3494,7005,4785,6308,5466,5402,8304,2960,9659,34401,8454,3522,16679
"hsa-miR-27b-5p",85,133,97,25,123,82,181,41,10,103,57,25,19,79,80,84,82,65,29,100,29,58,67,36,63,47,58,39,36,48,107,62,25,53,55,62,51,74,53,44,108,486,84,28,104
"hsa-miR-27b-3p",7708,14109,12794,3439,13183,9641,17964,5554,1352,13440,5729,2046,5224,16445,8701,16184,9873,6010,7600,7370,4776,14139,9758,5319,11690,6643,10356,4910,4499,9477,8916,7248,3574,8766,6332,7865,7143,9782,7401,3985,12134,46283,10789,4212,21131
"hsa-miR-30b-5p",2404,3031,2237,5494,5532,6167,9293,1209,2347,11543,1233,1201,13499,3318,6542,2979,30534,6983,2800,12133,1499,3148,5177,3737,3305,5091,1583,3876,9089,1008,2255,2373,1571,2249,4789,3091,3464,12442,6167,3271,20526,2113,6265,1203,3725
"hsa-miR-30b-3p",2,14,3,36,26,7,40,17,5,22,11,2,57,29,58,28,72,65,18,48,10,20,11,11,35,40,16,11,26,22,31,8,3,10,23,13,13,44,49,27,61,11,10,5,30
"hsa-miR-122-5p",75,288,14,17,572,30,102,27472,26,2342,91097,11916,97,175626,19011,201618,21881,5106,116777,582,5786,124796,246,3006,228774,18701,185173,23053,81,127252,10528,15741,48591,133,41076,25055,3504,76,218,2869,5256,296,5068,1373,219336
"hsa-miR-122-3p",0,2,0,0,3,0,1,136,0,31,638,38,1,1845,168,2220,217,38,1500,6,66,1486,1,25,2042,141,1231,251,0,868,21,86,430,1,310,165,50,2,4,21,35,1,48,15,2429
"hsa-miR-124-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-124-3p",0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-125b-5p",4777,2160,7273,484,2039,2056,4614,1460,2975,6901,2239,593,3175,7469,4744,8988,1953,2991,6355,1797,929,5894,5749,2939,7515,1704,4236,3482,1374,3352,1677,854,831,2081,2878,5355,3960,4061,2145,1807,4619,1432,3971,5005,8922
"hsa-miR-125b-1-3p",5,4,6,0,3,2,9,2,6,8,1,2,6,1,5,3,6,2,3,3,3,9,3,3,3,3,1,15,1,0,0,2,1,3,0,5,5,3,0,0,3,0,7,8,2
"hsa-miR-128-1-5p",17,6,8,8,6,6,11,8,17,11,5,6,13,15,6,6,19,31,6,8,6,6,3,12,15,1,7,4,4,7,13,5,8,7,9,9,13,25,24,5,8,10,5,6,5
"hsa-miR-128-3p",356,313,394,698,511,213,539,368,444,1446,367,173,527,933,435,966,2235,866,391,864,772,671,277,217,648,580,745,391,678,642,419,1021,798,403,323,837,454,1180,991,753,524,540,752,606,1751
"hsa-miR-130a-5p",5,3,6,3,2,3,12,0,4,2,1,3,8,10,3,3,6,6,2,4,3,8,9,3,8,4,6,5,2,2,4,5,0,6,8,2,11,8,9,3,7,3,8,3,10
"hsa-miR-130a-3p",548,349,491,58,371,432,870,159,360,1794,189,117,643,715,281,346,1021,560,274,392,115,458,810,516,608,500,210,674,638,211,268,418,56,371,710,529,734,610,533,276,619,149,699,236,570
"hsa-miR-132-5p",9,4,11,5,1,6,15,6,15,15,1,2,12,6,11,10,11,7,4,8,10,11,11,6,5,11,1,6,8,2,8,10,4,5,8,16,13,10,13,6,14,4,20,6,5
"hsa-miR-132-3p",635,863,944,476,514,391,433,443,764,1092,84,248,344,645,616,312,940,672,342,1157,332,528,625,302,498,521,246,489,360,181,610,536,655,407,364,1307,648,878,1009,723,881,438,1370,495,514
"hsa-miR-133a-5p",0,1,2,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,1,1,0,2,0,0
"hsa-miR-133a-3p",52,13,32,7,59,50,47,14,31,56,6,13,36,24,18,15,46,36,28,16,11,51,77,62,71,39,19,26,8,12,26,17,2,8,23,30,60,86,12,22,66,59,111,16,14
"hsa-miR-135a-5p",14,5,18,0,4,6,7,1,4,42,0,0,1,6,1,3,123,2,6,1,5,14,10,20,8,5,11,3,30,8,1,0,1,2,3,0,38,188,2,11,14,159,16,9,8
"hsa-miR-135a-3p",0,0,0,1,0,2,8,0,4,0,0,1,0,2,0,0,0,0,0,4,1,1,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,3,0,1,0,0
"hsa-miR-137",3,0,9,0,0,0,0,1,0,0,0,12,1,0,1,1,0,1,0,0,0,0,30,1,1,1,1,0,35,0,0,1,1,77,0,0,3,1,15,0,3,122,327,34,1
"hsa-miR-138-5p",40,5,31,1,7,0,1,0,23,2,0,13,0,0,2,2,1,2,1,5,11,6,10,7,1,2,2,0,1,4,1,0,0,13,7,1,2,0,5,1,2,0,7,44,3
"hsa-miR-138-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"hsa-miR-140-5p",258,167,142,304,312,134,407,147,431,282,120,75,257,275,308,290,339,323,250,176,128,398,270,460,360,190,163,213,141,177,156,214,108,141,287,182,280,359,345,203,281,360,460,188,421
"hsa-miR-140-3p",11754,3482,3851,6098,4474,2018,5798,1982,7915,7434,1413,1232,3977,7964,5850,5147,7381,5070,4983,3534,2180,6675,7422,5596,6948,3656,3828,3557,2198,2958,1754,3736,2228,3684,4004,4439,3904,7662,4616,3482,4913,8393,18752,4502,9431
"hsa-miR-141-5p",1332,8,2016,3845,53,14,11,4,36,147,4,8,325,13,6,5,18,48,7,20,3069,55,2,1658,49,18,9,58,6,7,2,9,47,6,6,20,34,3148,30,25,17,573,90,49,11
"hsa-miR-141-3p",1361,46,5082,6637,75,28,33,18,75,639,8,23,388,29,25,14,51,84,24,39,7593,100,19,5020,101,35,20,65,30,12,7,49,104,17,24,30,40,6954,33,71,16,1756,266,79,32
"hsa-miR-142-5p",863,263,246,301,730,160,438,213,4035,496,120,53,138,808,880,360,157,298,305,332,276,560,224,441,619,318,230,758,276,177,68,209,25,182,1012,269,311,222,123,243,83,59,1195,712,649
"hsa-miR-142-3p",9209,8004,4498,6873,18292,3149,11960,6518,71335,4782,2636,1787,2841,14436,18262,8756,2761,7447,7534,7402,3818,10181,5186,13723,20191,6664,5488,16771,4246,5040,2132,3913,866,4745,27016,5048,5991,3786,3952,5357,1907,1236,14652,14466,9944
"hsa-miR-143-5p",69,265,309,385,326,230,588,203,125,327,59,66,310,271,224,159,379,328,139,177,121,222,378,319,365,389,114,238,104,83,326,210,81,83,129,499,456,403,225,245,366,312,256,228,170
"hsa-miR-143-3p",388374,166407,260692,231487,196613,128848,481264,69591,133280,297663,34789,27758,186325,219330,194693,100961,319448,332879,106099,227239,85607,150467,405657,200420,185841,241348,59566,127230,112110,41167,142182,225622,37051,93994,128279,376724,273054,408536,131653,210346,248261,223785,535839,175849,149823
"hsa-miR-144-5p",29,122,71,333,55,43,401,347,62,92,252,80,162,2085,45,921,122,344,1415,84,239,1213,55,74,1269,271,1115,2060,8,1068,83,114,154,211,164,417,36,75,80,118,65,1365,578,52,1096
"hsa-miR-144-3p",2,14,9,51,5,6,57,31,9,2,35,7,12,215,4,96,18,44,135,11,20,172,4,1,156,48,137,240,2,146,11,11,21,12,16,32,9,13,8,19,4,108,45,2,146
"hsa-miR-145-5p",9260,6302,17663,6199,8500,9144,15007,4052,6739,13252,2582,1495,12364,10624,6857,7333,10813,8297,9590,3956,2723,12823,20575,15641,16763,9412,5150,5866,4249,3114,9082,5846,1466,4144,5573,9971,14226,16762,6800,5317,15407,9714,13149,6145,9767
"hsa-miR-145-3p",326,257,396,128,239,234,362,103,190,423,89,25,320,297,199,197,235,280,173,122,64,264,540,435,361,194,115,166,103,108,185,162,48,143,180,265,324,399,180,170,390,358,483,144,273
"hsa-miR-152-5p",2,1,11,2,0,1,1,1,0,2,0,3,0,4,4,2,2,1,2,3,1,1,1,2,1,2,4,2,0,1,0,0,0,1,4,3,2,1,2,1,1,1,1,3,5
"hsa-miR-152-3p",1117,535,1116,1226,516,442,1139,502,583,2059,708,149,595,2638,737,2003,2082,1260,1110,888,350,1494,1107,388,2032,604,1266,921,269,1039,441,497,360,836,514,2194,827,1014,501,562,1311,450,1091,761,3491
"hsa-miR-153-3p",7,3,30,2,0,8,18,1,6,5,3,1,15,2,2,8,2,11,1,1,27,3,3,15,4,3,3,7,1,1,2,1,20,3,14,2,5,19,3,3,5,28,9,7,4
"hsa-miR-153-5p",20,29,83,16,60,24,222,14,124,27,19,4,116,34,62,45,14,130,31,36,184,28,32,84,86,22,20,40,14,24,13,7,157,20,73,15,53,104,31,43,32,381,39,49,28
"hsa-miR-191-5p",1275,1399,1950,2452,2324,1716,3721,2055,2519,2489,1138,1157,1618,2468,1212,2559,3405,1258,2992,1180,2350,4722,1249,2130,4342,2855,2406,1202,1831,1424,3093,2880,1132,1037,2242,1373,1797,1428,4384,2068,2445,1725,1724,2540,3587
"hsa-miR-191-3p",4,1,3,2,3,1,3,1,3,0,3,0,2,5,5,6,3,1,7,2,7,2,0,0,7,5,5,2,1,3,3,2,2,1,2,3,4,3,7,2,4,1,2,4,12
"hsa-miR-9-5p",10006,322,2309,3049,1354,248,388,376,1474,1944,82,742,1403,609,662,264,949,220,503,1432,816,622,326,1317,2088,1620,391,952,401,249,205,628,6217,4776,763,4208,1352,492,316,782,263,1574,1695,326,430
"hsa-miR-9-3p",10,1,2,3,1,0,1,0,2,7,0,0,5,4,1,0,2,0,0,0,2,2,2,3,7,5,0,0,0,0,0,1,9,6,1,10,3,0,2,4,0,2,5,1,3
"hsa-miR-125a-5p",3970,6585,4859,3258,2428,6901,6620,2632,2346,7908,889,460,5371,2759,3035,2461,9838,3470,2160,3117,1429,2115,5885,4029,3505,3997,1343,1190,5571,1257,3950,3255,684,2806,4541,5237,5260,5721,6574,2706,9794,7754,7765,2200,3139
"hsa-miR-125a-3p",44,17,23,30,16,30,41,15,8,30,4,2,23,10,12,6,46,18,3,19,19,3,16,8,13,20,1,5,23,2,20,15,1,10,18,39,39,79,14,10,72,17,25,24,3
"hsa-miR-125b-2-3p",57,18,55,5,30,20,74,32,43,80,82,13,32,260,51,247,19,49,162,40,11,172,62,29,186,35,170,40,40,150,21,19,37,15,48,159,33,121,36,93,33,23,73,56,365
"hsa-miR-126-5p",1030,1136,646,919,668,923,1799,454,1742,2599,630,441,695,2343,897,1298,717,1200,1457,559,499,1700,931,1424,2036,798,788,856,561,812,590,599,764,334,1305,1768,836,729,604,898,695,1553,1541,834,2615
"hsa-miR-126-3p",7060,16609,7431,15054,10702,12638,31528,10287,26745,19982,10429,5520,11529,29051,16032,23829,9361,19493,29181,7767,7373,36080,11211,21875,38363,13404,14950,14623,6744,16841,11263,8809,10779,4498,27506,20430,14170,10374,9186,13208,13138,32293,10782,11460,35029
"hsa-miR-127-5p",809,781,1731,483,437,4177,1695,834,252,1732,495,250,265,1176,341,540,673,793,522,5079,554,1135,1373,621,1611,2766,525,1434,1406,656,852,986,357,270,1041,1294,1301,452,2974,291,814,588,2552,1357,679
"hsa-miR-127-3p",4636,968,4253,1530,663,9810,2588,1334,652,5823,760,497,508,2965,1026,1378,2201,1738,1013,24809,1521,2491,2864,437,2634,14091,1011,2598,7727,1014,1624,3696,886,477,1043,4990,3817,1675,5365,891,2114,1074,19317,6023,2926
"hsa-miR-129-2-3p",1,0,14,0,0,0,0,1,3,3,0,0,0,1,14,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,4,0,0
"hsa-miR-134-5p",1613,261,1221,645,398,4201,967,813,168,1051,391,235,279,1172,340,675,1035,547,469,11009,675,930,1036,330,1818,5494,630,1167,1434,594,879,1425,347,326,473,1224,2254,684,2245,588,1034,370,3797,3541,1008
